Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_car
E02000001,City of London 001,954
E02000002,Barking and Dagenham 001,1273
E02000003,Barking and Dagenham 002,1841
E02000004,Barking and Dagenham 003,984
E02000005,Barking and Dagenham 004,1729
E02000007,Barking and Dagenham 006,1611
E02000008,Barking and Dagenham 007,2086
E02000009,Barking and Dagenham 008,1995
E02000010,Barking and Dagenham 009,1530
E02000011,Barking and Dagenham 010,1087
E02000012,Barking and Dagenham 011,1464
E02000013,Barking and Dagenham 012,1485
E02000014,Barking and Dagenham 013,1566
E02000015,Barking and Dagenham 014,1320
E02000016,Barking and Dagenham 015,1251
E02000017,Barking and Dagenham 016,1117
E02000018,Barking and Dagenham 017,1450
E02000019,Barking and Dagenham 018,1496
E02000020,Barking and Dagenham 019,2252
E02000021,Barking and Dagenham 020,1352
E02000022,Barking and Dagenham 021,1198
E02000023,Barking and Dagenham 022,1231
E02000024,Barnet 001,2169
E02000025,Barnet 002,1835
E02000026,Barnet 003,1231
E02000027,Barnet 004,1733
E02000028,Barnet 005,1272
E02000029,Barnet 006,1747
E02000030,Barnet 007,1344
E02000031,Barnet 008,1599
E02000032,Barnet 009,1216
E02000033,Barnet 010,1644
E02000034,Barnet 011,1643
E02000035,Barnet 012,1634
E02000036,Barnet 013,1802
E02000037,Barnet 014,1567
E02000038,Barnet 015,1909
E02000039,Barnet 016,1155
E02000040,Barnet 017,1686
E02000041,Barnet 018,1415
E02000042,Barnet 019,2125
E02000043,Barnet 020,1288
E02000044,Barnet 021,1385
E02000045,Barnet 022,2000
E02000046,Barnet 023,1337
E02000047,Barnet 024,1905
E02000048,Barnet 025,1920
E02000049,Barnet 026,1754
E02000050,Barnet 027,1910
E02000051,Barnet 028,1686
E02000052,Barnet 029,2086
E02000054,Barnet 031,1330
E02000055,Barnet 032,1758
E02000056,Barnet 033,1447
E02000057,Barnet 034,1098
E02000058,Barnet 035,1841
E02000059,Barnet 036,1954
E02000060,Barnet 037,1439
E02000061,Barnet 038,1390
E02000062,Barnet 039,1027
E02000063,Barnet 040,1252
E02000064,Barnet 041,1091
E02000065,Bexley 001,1240
E02000066,Bexley 002,1504
E02000067,Bexley 003,1918
E02000068,Bexley 004,1403
E02000069,Bexley 005,1277
E02000070,Bexley 006,1411
E02000071,Bexley 007,1252
E02000072,Bexley 008,2121
E02000073,Bexley 009,1688
E02000074,Bexley 010,1606
E02000075,Bexley 011,1401
E02000077,Bexley 013,1369
E02000078,Bexley 014,1327
E02000079,Bexley 015,1633
E02000080,Bexley 016,1735
E02000081,Bexley 017,1517
E02000082,Bexley 018,1512
E02000083,Bexley 019,2114
E02000084,Bexley 020,1854
E02000085,Bexley 021,1401
E02000086,Bexley 022,1238
E02000087,Bexley 023,1466
E02000088,Bexley 024,1366
E02000089,Bexley 025,1359
E02000090,Bexley 026,2064
E02000091,Bexley 027,2015
E02000092,Bexley 028,1214
E02000093,Brent 001,1649
E02000094,Brent 002,1518
E02000095,Brent 003,1381
E02000096,Brent 004,1027
E02000097,Brent 005,1334
E02000098,Brent 006,1224
E02000099,Brent 007,1345
E02000100,Brent 008,1019
E02000101,Brent 009,1366
E02000102,Brent 010,1142
E02000103,Brent 011,1555
E02000104,Brent 012,1008
E02000105,Brent 013,1295
E02000106,Brent 014,1376
E02000107,Brent 015,1438
E02000108,Brent 016,1010
E02000110,Brent 018,1271
E02000111,Brent 019,1294
E02000112,Brent 020,1268
E02000113,Brent 021,1262
E02000114,Brent 022,1178
E02000115,Brent 023,1360
E02000116,Brent 024,1120
E02000117,Brent 025,1725
E02000118,Brent 026,1245
E02000119,Brent 027,1632
E02000120,Brent 028,1399
E02000121,Brent 029,1443
E02000122,Brent 030,1355
E02000123,Brent 031,1783
E02000124,Brent 032,1688
E02000125,Brent 033,1727
E02000126,Brent 034,1121
E02000127,Bromley 001,1781
E02000128,Bromley 002,1524
E02000130,Bromley 004,1785
E02000131,Bromley 005,2253
E02000132,Bromley 006,2594
E02000133,Bromley 007,2009
E02000134,Bromley 008,2623
E02000135,Bromley 009,1759
E02000136,Bromley 010,939
E02000137,Bromley 011,1894
E02000138,Bromley 012,2116
E02000139,Bromley 013,1760
E02000140,Bromley 014,1450
E02000141,Bromley 015,1557
E02000142,Bromley 016,1711
E02000144,Bromley 018,2062
E02000145,Bromley 019,1583
E02000146,Bromley 020,2081
E02000147,Bromley 021,1306
E02000148,Bromley 022,1283
E02000149,Bromley 023,1492
E02000150,Bromley 024,1452
E02000151,Bromley 025,1418
E02000152,Bromley 026,1441
E02000153,Bromley 027,1259
E02000154,Bromley 028,1624
E02000155,Bromley 029,1452
E02000156,Bromley 030,2152
E02000157,Bromley 031,1586
E02000158,Bromley 032,1311
E02000159,Bromley 033,1077
E02000160,Bromley 034,1288
E02000161,Bromley 035,1623
E02000162,Bromley 036,1271
E02000163,Bromley 037,1348
E02000165,Bromley 039,987
E02000166,Camden 001,1279
E02000167,Camden 002,1362
E02000168,Camden 003,1285
E02000169,Camden 004,1264
E02000170,Camden 005,1314
E02000171,Camden 006,1279
E02000172,Camden 007,1200
E02000173,Camden 008,1151
E02000174,Camden 009,1079
E02000175,Camden 010,1374
E02000176,Camden 011,1019
E02000177,Camden 012,1144
E02000178,Camden 013,1235
E02000179,Camden 014,936
E02000180,Camden 015,1008
E02000181,Camden 016,1334
E02000182,Camden 017,1035
E02000183,Camden 018,1232
E02000184,Camden 019,868
E02000185,Camden 020,1034
E02000186,Camden 021,725
E02000187,Camden 022,885
E02000188,Camden 023,667
E02000191,Camden 026,330
E02000192,Camden 027,632
E02000193,Camden 028,476
E02000194,Croydon 001,1913
E02000195,Croydon 002,1625
E02000196,Croydon 003,1178
E02000197,Croydon 004,1496
E02000198,Croydon 005,1541
E02000199,Croydon 006,1516
E02000200,Croydon 007,1701
E02000201,Croydon 008,1521
E02000202,Croydon 009,1409
E02000203,Croydon 010,1197
E02000204,Croydon 011,1373
E02000206,Croydon 013,1861
E02000207,Croydon 014,1542
E02000208,Croydon 015,1619
E02000209,Croydon 016,1452
E02000210,Croydon 017,1686
E02000211,Croydon 018,1485
E02000212,Croydon 019,1373
E02000213,Croydon 020,1845
E02000214,Croydon 021,1103
E02000215,Croydon 022,2116
E02000216,Croydon 023,1441
E02000217,Croydon 024,2086
E02000218,Croydon 025,939
E02000219,Croydon 026,1282
E02000221,Croydon 028,1806
E02000222,Croydon 029,1813
E02000223,Croydon 030,1118
E02000224,Croydon 031,1636
E02000225,Croydon 032,1110
E02000226,Croydon 033,1160
E02000227,Croydon 034,2366
E02000228,Croydon 035,1236
E02000229,Croydon 036,888
E02000230,Croydon 037,1958
E02000231,Croydon 038,1031
E02000232,Croydon 039,969
E02000233,Croydon 040,1169
E02000234,Croydon 041,1720
E02000235,Croydon 042,1160
E02000236,Croydon 043,1521
E02000237,Croydon 044,1210
E02000238,Ealing 001,1690
E02000239,Ealing 002,1332
E02000240,Ealing 003,1755
E02000241,Ealing 004,1224
E02000242,Ealing 005,1018
E02000243,Ealing 006,1375
E02000244,Ealing 007,1333
E02000245,Ealing 008,1523
E02000246,Ealing 009,1337
E02000247,Ealing 010,1821
E02000248,Ealing 011,1378
E02000249,Ealing 012,1231
E02000250,Ealing 013,1352
E02000251,Ealing 014,1078
E02000252,Ealing 015,1488
E02000253,Ealing 016,1709
E02000254,Ealing 017,1024
E02000255,Ealing 018,1858
E02000256,Ealing 019,1721
E02000258,Ealing 021,1212
E02000259,Ealing 022,1205
E02000260,Ealing 023,1000
E02000261,Ealing 024,1799
E02000262,Ealing 025,1505
E02000263,Ealing 026,1390
E02000264,Ealing 027,1555
E02000265,Ealing 028,2001
E02000266,Ealing 029,1855
E02000267,Ealing 030,1605
E02000268,Ealing 031,1792
E02000269,Ealing 032,1716
E02000270,Ealing 033,1563
E02000271,Ealing 034,1508
E02000272,Ealing 035,1390
E02000275,Ealing 038,839
E02000276,Ealing 039,1391
E02000277,Enfield 001,1116
E02000278,Enfield 002,1485
E02000279,Enfield 003,2084
E02000280,Enfield 004,1583
E02000281,Enfield 005,1587
E02000282,Enfield 006,1462
E02000283,Enfield 007,1220
E02000284,Enfield 008,1805
E02000285,Enfield 009,1101
E02000286,Enfield 010,2017
E02000287,Enfield 011,1112
E02000288,Enfield 012,1714
E02000289,Enfield 013,1026
E02000290,Enfield 014,1104
E02000291,Enfield 015,2005
E02000292,Enfield 016,1698
E02000293,Enfield 017,1073
E02000294,Enfield 018,1302
E02000295,Enfield 019,1622
E02000296,Enfield 020,1910
E02000297,Enfield 021,1555
E02000298,Enfield 022,1423
E02000299,Enfield 023,1339
E02000300,Enfield 024,1251
E02000301,Enfield 025,1534
E02000302,Enfield 026,1425
E02000303,Enfield 027,1168
E02000304,Enfield 028,1347
E02000305,Enfield 029,1732
E02000306,Enfield 030,1226
E02000307,Enfield 031,1441
E02000308,Enfield 032,1512
E02000309,Enfield 033,1651
E02000311,Enfield 035,1632
E02000312,Enfield 036,1995
E02000313,Greenwich 001,1060
E02000314,Greenwich 002,2102
E02000315,Greenwich 003,1495
E02000317,Greenwich 005,1147
E02000318,Greenwich 006,1428
E02000319,Greenwich 007,1669
E02000320,Greenwich 008,1134
E02000321,Greenwich 009,1186
E02000323,Greenwich 011,1662
E02000324,Greenwich 012,1187
E02000326,Greenwich 014,1463
E02000327,Greenwich 015,1104
E02000328,Greenwich 016,1325
E02000329,Greenwich 017,1073
E02000331,Greenwich 019,1457
E02000332,Greenwich 020,1468
E02000333,Greenwich 021,1412
E02000334,Greenwich 022,1248
E02000335,Greenwich 023,1308
E02000337,Greenwich 025,1501
E02000339,Greenwich 027,1196
E02000340,Greenwich 028,1327
E02000341,Greenwich 029,1364
E02000342,Greenwich 030,1123
E02000343,Greenwich 031,1206
E02000344,Greenwich 032,1186
E02000345,Hackney 001,979
E02000346,Hackney 002,1040
E02000347,Hackney 003,971
E02000348,Hackney 004,909
E02000350,Hackney 006,1187
E02000351,Hackney 007,1269
E02000352,Hackney 008,1001
E02000353,Hackney 009,1170
E02000354,Hackney 010,1264
E02000355,Hackney 011,1155
E02000356,Hackney 012,1130
E02000357,Hackney 013,863
E02000358,Hackney 014,1369
E02000359,Hackney 015,1006
E02000360,Hackney 016,1409
E02000361,Hackney 017,981
E02000362,Hackney 018,974
E02000363,Hackney 019,1260
E02000364,Hackney 020,1283
E02000366,Hackney 022,1254
E02000367,Hackney 023,1301
E02000368,Hackney 024,1205
E02000369,Hackney 025,1564
E02000370,Hackney 026,1000
E02000372,Hammersmith and Fulham 001,1225
E02000373,Hammersmith and Fulham 002,871
E02000374,Hammersmith and Fulham 003,1059
E02000375,Hammersmith and Fulham 004,1030
E02000376,Hammersmith and Fulham 005,892
E02000377,Hammersmith and Fulham 006,1203
E02000378,Hammersmith and Fulham 007,946
E02000379,Hammersmith and Fulham 008,1370
E02000380,Hammersmith and Fulham 009,1041
E02000381,Hammersmith and Fulham 010,1261
E02000382,Hammersmith and Fulham 011,1057
E02000383,Hammersmith and Fulham 012,1177
E02000384,Hammersmith and Fulham 013,1070
E02000385,Hammersmith and Fulham 014,836
E02000386,Hammersmith and Fulham 015,970
E02000387,Hammersmith and Fulham 016,807
E02000388,Hammersmith and Fulham 017,1387
E02000389,Hammersmith and Fulham 018,1581
E02000390,Hammersmith and Fulham 019,1061
E02000391,Hammersmith and Fulham 020,1286
E02000392,Hammersmith and Fulham 021,1527
E02000393,Hammersmith and Fulham 022,1156
E02000394,Hammersmith and Fulham 023,1667
E02000395,Hammersmith and Fulham 024,1073
E02000396,Hammersmith and Fulham 025,1199
E02000397,Haringey 001,1312
E02000398,Haringey 002,992
E02000400,Haringey 004,1461
E02000401,Haringey 005,1016
E02000402,Haringey 006,972
E02000403,Haringey 007,1066
E02000404,Haringey 008,1018
E02000405,Haringey 009,1367
E02000406,Haringey 010,914
E02000407,Haringey 011,965
E02000408,Haringey 012,967
E02000409,Haringey 013,877
E02000410,Haringey 014,1219
E02000411,Haringey 015,1378
E02000412,Haringey 016,804
E02000413,Haringey 017,1434
E02000414,Haringey 018,930
E02000415,Haringey 019,947
E02000416,Haringey 020,1564
E02000417,Haringey 021,1322
E02000418,Haringey 022,1174
E02000419,Haringey 023,1158
E02000420,Haringey 024,1057
E02000421,Haringey 025,906
E02000422,Haringey 026,982
E02000423,Haringey 027,829
E02000424,Haringey 028,1291
E02000425,Haringey 029,853
E02000426,Haringey 030,1131
E02000427,Haringey 031,1003
E02000428,Haringey 032,938
E02000429,Haringey 033,1458
E02000430,Haringey 034,1344
E02000431,Haringey 035,1221
E02000432,Haringey 036,988
E02000433,Harrow 001,1538
E02000434,Harrow 002,1680
E02000435,Harrow 003,1184
E02000436,Harrow 004,754
E02000437,Harrow 005,1341
E02000438,Harrow 006,1346
E02000439,Harrow 007,1308
E02000440,Harrow 008,1270
E02000441,Harrow 009,1254
E02000442,Harrow 010,1167
E02000443,Harrow 011,1580
E02000444,Harrow 012,1138
E02000445,Harrow 013,1654
E02000447,Harrow 015,1249
E02000448,Harrow 016,1257
E02000449,Harrow 017,1055
E02000451,Harrow 019,1090
E02000452,Harrow 020,1475
E02000453,Harrow 021,1479
E02000454,Harrow 022,1132
E02000455,Harrow 023,1920
E02000456,Harrow 024,1239
E02000457,Harrow 025,1179
E02000459,Harrow 027,1581
E02000460,Harrow 028,1156
E02000461,Harrow 029,1284
E02000462,Harrow 030,1034
E02000463,Harrow 031,1174
E02000464,Havering 001,1211
E02000465,Havering 002,1519
E02000466,Havering 003,1354
E02000467,Havering 004,1868
E02000468,Havering 005,1353
E02000469,Havering 006,1168
E02000470,Havering 007,2065
E02000471,Havering 008,1158
E02000472,Havering 009,1575
E02000473,Havering 010,1812
E02000474,Havering 011,1592
E02000475,Havering 012,1775
E02000476,Havering 013,1673
E02000477,Havering 014,1728
E02000478,Havering 015,674
E02000479,Havering 016,1824
E02000480,Havering 017,2276
E02000481,Havering 018,1414
E02000482,Havering 019,1095
E02000483,Havering 020,1530
E02000484,Havering 021,1403
E02000485,Havering 022,1682
E02000486,Havering 023,1405
E02000487,Havering 024,1230
E02000488,Havering 025,1420
E02000489,Havering 026,1531
E02000490,Havering 027,1436
E02000491,Havering 028,1755
E02000492,Havering 029,1098
E02000493,Havering 030,1083
E02000494,Hillingdon 001,1398
E02000495,Hillingdon 002,2126
E02000496,Hillingdon 003,1280
E02000497,Hillingdon 004,1735
E02000498,Hillingdon 005,1180
E02000499,Hillingdon 006,1373
E02000500,Hillingdon 007,1415
E02000501,Hillingdon 008,1603
E02000502,Hillingdon 009,1743
E02000503,Hillingdon 010,1619
E02000504,Hillingdon 011,1262
E02000506,Hillingdon 013,1049
E02000507,Hillingdon 014,1177
E02000508,Hillingdon 015,2046
E02000509,Hillingdon 016,1475
E02000510,Hillingdon 017,1368
E02000511,Hillingdon 018,1225
E02000512,Hillingdon 019,1359
E02000513,Hillingdon 020,1525
E02000514,Hillingdon 021,1370
E02000515,Hillingdon 022,2405
E02000516,Hillingdon 023,1253
E02000517,Hillingdon 024,1456
E02000518,Hillingdon 025,1399
E02000519,Hillingdon 026,1151
E02000520,Hillingdon 027,1781
E02000521,Hillingdon 028,1957
E02000522,Hillingdon 029,1583
E02000523,Hillingdon 030,1422
E02000524,Hillingdon 031,1143
E02000525,Hillingdon 032,1433
E02000526,Hounslow 001,1778
E02000529,Hounslow 004,1323
E02000530,Hounslow 005,1080
E02000531,Hounslow 006,2405
E02000532,Hounslow 007,1844
E02000533,Hounslow 008,1827
E02000534,Hounslow 009,1406
E02000535,Hounslow 010,1139
E02000536,Hounslow 011,1318
E02000537,Hounslow 012,1320
E02000538,Hounslow 013,1186
E02000539,Hounslow 014,2548
E02000540,Hounslow 015,1897
E02000541,Hounslow 016,1256
E02000542,Hounslow 017,1589
E02000543,Hounslow 018,1786
E02000544,Hounslow 019,1256
E02000545,Hounslow 020,1764
E02000546,Hounslow 021,1368
E02000547,Hounslow 022,1643
E02000548,Hounslow 023,1709
E02000549,Hounslow 024,1743
E02000550,Hounslow 025,1664
E02000551,Hounslow 026,1441
E02000552,Hounslow 027,1545
E02000553,Hounslow 028,1120
E02000554,Islington 001,1274
E02000555,Islington 002,1424
E02000556,Islington 003,1501
E02000557,Islington 004,1166
E02000558,Islington 005,1048
E02000559,Islington 006,1445
E02000560,Islington 007,918
E02000561,Islington 008,1260
E02000562,Islington 009,1151
E02000563,Islington 010,1068
E02000564,Islington 011,1388
E02000565,Islington 012,1042
E02000566,Islington 013,1325
E02000567,Islington 014,1386
E02000568,Islington 015,1227
E02000569,Islington 016,1340
E02000570,Islington 017,1339
E02000571,Islington 018,1130
E02000572,Islington 019,938
E02000573,Islington 020,1351
E02000574,Islington 021,877
E02000575,Islington 022,1126
E02000576,Islington 023,997
E02000577,Kensington and Chelsea 001,931
E02000578,Kensington and Chelsea 002,806
E02000579,Kensington and Chelsea 003,1432
E02000580,Kensington and Chelsea 004,1142
E02000581,Kensington and Chelsea 005,955
E02000582,Kensington and Chelsea 006,941
E02000583,Kensington and Chelsea 007,1091
E02000584,Kensington and Chelsea 008,1170
E02000585,Kensington and Chelsea 009,1258
E02000586,Kensington and Chelsea 010,999
E02000587,Kensington and Chelsea 011,1056
E02000588,Kensington and Chelsea 012,1042
E02000589,Kensington and Chelsea 013,1030
E02000590,Kensington and Chelsea 014,859
E02000591,Kensington and Chelsea 015,858
E02000592,Kensington and Chelsea 016,909
E02000593,Kensington and Chelsea 017,1109
E02000594,Kensington and Chelsea 018,1061
E02000595,Kensington and Chelsea 019,1084
E02000596,Kensington and Chelsea 020,1128
E02000597,Kensington and Chelsea 021,999
E02000598,Kingston upon Thames 001,1567
E02000599,Kingston upon Thames 002,948
E02000600,Kingston upon Thames 003,1699
E02000601,Kingston upon Thames 004,2534
E02000602,Kingston upon Thames 005,1805
E02000603,Kingston upon Thames 006,1362
E02000604,Kingston upon Thames 007,1798
E02000605,Kingston upon Thames 008,1544
E02000606,Kingston upon Thames 009,2334
E02000607,Kingston upon Thames 010,1340
E02000608,Kingston upon Thames 011,1658
E02000609,Kingston upon Thames 012,1196
E02000610,Kingston upon Thames 013,1885
E02000611,Kingston upon Thames 014,1176
E02000612,Kingston upon Thames 015,1441
E02000613,Kingston upon Thames 016,1672
E02000614,Kingston upon Thames 017,1581
E02000615,Kingston upon Thames 018,1333
E02000616,Kingston upon Thames 019,1109
E02000617,Kingston upon Thames 020,1465
E02000619,Lambeth 002,1099
E02000620,Lambeth 003,1271
E02000621,Lambeth 004,1436
E02000622,Lambeth 005,1123
E02000623,Lambeth 006,950
E02000624,Lambeth 007,1311
E02000625,Lambeth 008,1105
E02000626,Lambeth 009,1076
E02000627,Lambeth 010,1189
E02000628,Lambeth 011,1148
E02000629,Lambeth 012,1333
E02000630,Lambeth 013,1174
E02000631,Lambeth 014,1413
E02000632,Lambeth 015,1385
E02000633,Lambeth 016,1114
E02000634,Lambeth 017,933
E02000635,Lambeth 018,1480
E02000636,Lambeth 019,1367
E02000637,Lambeth 020,1319
E02000638,Lambeth 021,1495
E02000639,Lambeth 022,1155
E02000640,Lambeth 023,1772
E02000641,Lambeth 024,1160
E02000642,Lambeth 025,1756
E02000643,Lambeth 026,1587
E02000644,Lambeth 027,1524
E02000645,Lambeth 028,1687
E02000646,Lambeth 029,1443
E02000647,Lambeth 030,1587
E02000648,Lambeth 031,1289
E02000649,Lambeth 032,1991
E02000650,Lambeth 033,1399
E02000651,Lambeth 034,1427
E02000652,Lambeth 035,1156
E02000653,Lewisham 001,1632
E02000654,Lewisham 002,1194
E02000655,Lewisham 003,1350
E02000657,Lewisham 005,1330
E02000658,Lewisham 006,1273
E02000659,Lewisham 007,1429
E02000660,Lewisham 008,1423
E02000661,Lewisham 009,1282
E02000662,Lewisham 010,1362
E02000663,Lewisham 011,1244
E02000665,Lewisham 013,1514
E02000666,Lewisham 014,1235
E02000667,Lewisham 015,1296
E02000668,Lewisham 016,1419
E02000669,Lewisham 017,1430
E02000670,Lewisham 018,1070
E02000671,Lewisham 019,1700
E02000672,Lewisham 020,1522
E02000673,Lewisham 021,1569
E02000674,Lewisham 022,1496
E02000675,Lewisham 023,1643
E02000676,Lewisham 024,1536
E02000677,Lewisham 025,1190
E02000678,Lewisham 026,1187
E02000679,Lewisham 027,1455
E02000680,Lewisham 028,1273
E02000681,Lewisham 029,1406
E02000682,Lewisham 030,1378
E02000683,Lewisham 031,1154
E02000685,Lewisham 033,1482
E02000686,Lewisham 034,1274
E02000687,Lewisham 035,1549
E02000689,Merton 001,1812
E02000690,Merton 002,961
E02000691,Merton 003,1396
E02000692,Merton 004,1676
E02000693,Merton 005,1888
E02000694,Merton 006,1987
E02000695,Merton 007,1362
E02000696,Merton 008,1401
E02000697,Merton 009,1769
E02000698,Merton 010,1713
E02000699,Merton 011,1795
E02000700,Merton 012,1510
E02000701,Merton 013,1378
E02000702,Merton 014,1569
E02000703,Merton 015,1493
E02000704,Merton 016,1738
E02000705,Merton 017,1460
E02000706,Merton 018,1482
E02000707,Merton 019,1225
E02000708,Merton 020,1733
E02000709,Merton 021,1445
E02000710,Merton 022,1564
E02000711,Merton 023,1671
E02000712,Merton 024,1515
E02000713,Merton 025,1300
E02000714,Newham 001,1110
E02000715,Newham 002,865
E02000716,Newham 003,956
E02000717,Newham 004,908
E02000718,Newham 005,926
E02000719,Newham 006,1041
E02000720,Newham 007,878
E02000721,Newham 008,993
E02000722,Newham 009,982
E02000723,Newham 010,1115
E02000724,Newham 011,1053
E02000725,Newham 012,1140
E02000727,Newham 014,896
E02000728,Newham 015,987
E02000729,Newham 016,851
E02000730,Newham 017,925
E02000731,Newham 018,1020
E02000732,Newham 019,1073
E02000733,Newham 020,1324
E02000734,Newham 021,930
E02000735,Newham 022,976
E02000736,Newham 023,1147
E02000737,Newham 024,1323
E02000738,Newham 025,1223
E02000739,Newham 026,960
E02000740,Newham 027,921
E02000741,Newham 028,1108
E02000742,Newham 029,1103
E02000743,Newham 030,1232
E02000744,Newham 031,1266
E02000745,Newham 032,1272
E02000746,Newham 033,1447
E02000747,Newham 034,1713
E02000748,Newham 035,1018
E02000749,Newham 036,1397
E02000751,Redbridge 001,2080
E02000752,Redbridge 002,1574
E02000753,Redbridge 003,1159
E02000754,Redbridge 004,1335
E02000755,Redbridge 005,1063
E02000756,Redbridge 006,2485
E02000757,Redbridge 007,2597
E02000758,Redbridge 008,999
E02000759,Redbridge 009,2509
E02000760,Redbridge 010,1214
E02000762,Redbridge 012,905
E02000763,Redbridge 013,1244
E02000764,Redbridge 014,2580
E02000765,Redbridge 015,1062
E02000767,Redbridge 017,1354
E02000768,Redbridge 018,1179
E02000770,Redbridge 020,1101
E02000772,Redbridge 022,1105
E02000773,Redbridge 023,1371
E02000774,Redbridge 024,1064
E02000776,Redbridge 026,897
E02000777,Redbridge 027,1214
E02000779,Redbridge 029,987
E02000781,Redbridge 031,1819
E02000782,Redbridge 032,1413
E02000783,Redbridge 033,905
E02000784,Richmond upon Thames 001,2178
E02000785,Richmond upon Thames 002,2245
E02000786,Richmond upon Thames 003,2723
E02000787,Richmond upon Thames 004,2790
E02000788,Richmond upon Thames 005,1997
E02000789,Richmond upon Thames 006,1301
E02000790,Richmond upon Thames 007,1497
E02000791,Richmond upon Thames 008,1388
E02000792,Richmond upon Thames 009,1634
E02000793,Richmond upon Thames 010,1495
E02000794,Richmond upon Thames 011,1528
E02000795,Richmond upon Thames 012,1302
