Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_outright
E02000801,Richmond upon Thames 018,971
E02000802,Richmond upon Thames 019,981
E02000803,Richmond upon Thames 020,1258
E02000804,Richmond upon Thames 021,1007
E02000805,Richmond upon Thames 022,1413
E02000806,Richmond upon Thames 023,1500
E02000807,Southwark 001,552
E02000808,Southwark 002,437
E02000810,Southwark 004,381
E02000812,Southwark 006,314
E02000813,Southwark 007,333
E02000814,Southwark 008,565
E02000815,Southwark 009,208
E02000816,Southwark 010,315
E02000817,Southwark 011,155
E02000818,Southwark 012,280
E02000819,Southwark 013,207
E02000820,Southwark 014,352
E02000821,Southwark 015,156
E02000822,Southwark 016,129
E02000823,Southwark 017,322
E02000824,Southwark 018,203
E02000825,Southwark 019,138
E02000826,Southwark 020,267
E02000827,Southwark 021,293
E02000828,Southwark 022,230
E02000829,Southwark 023,426
E02000830,Southwark 024,603
E02000831,Southwark 025,590
E02000832,Southwark 026,419
E02000833,Southwark 027,360
E02000834,Southwark 028,663
E02000835,Southwark 029,539
E02000836,Southwark 030,723
E02000837,Southwark 031,1086
E02000838,Southwark 032,698
E02000839,Southwark 033,839
E02000840,Sutton 001,435
E02000841,Sutton 002,500
E02000842,Sutton 003,1144
E02000843,Sutton 004,790
E02000844,Sutton 005,760
E02000845,Sutton 006,1031
E02000846,Sutton 007,966
E02000847,Sutton 008,1441
E02000848,Sutton 009,1121
E02000849,Sutton 010,906
E02000850,Sutton 011,1344
E02000851,Sutton 012,804
E02000852,Sutton 013,987
E02000853,Sutton 014,865
E02000854,Sutton 015,1022
E02000855,Sutton 016,1323
E02000856,Sutton 017,1122
E02000857,Sutton 018,938
E02000858,Sutton 019,415
E02000859,Sutton 020,1281
E02000860,Sutton 021,659
E02000861,Sutton 022,1305
E02000863,Sutton 024,926
E02000864,Tower Hamlets 001,321
E02000865,Tower Hamlets 002,179
E02000866,Tower Hamlets 003,550
E02000867,Tower Hamlets 004,328
E02000868,Tower Hamlets 005,250
E02000869,Tower Hamlets 006,302
E02000870,Tower Hamlets 007,220
E02000871,Tower Hamlets 008,238
E02000872,Tower Hamlets 009,229
E02000873,Tower Hamlets 010,224
E02000874,Tower Hamlets 011,149
E02000875,Tower Hamlets 012,271
E02000876,Tower Hamlets 013,209
E02000877,Tower Hamlets 014,282
E02000878,Tower Hamlets 015,355
E02000879,Tower Hamlets 016,280
E02000880,Tower Hamlets 017,186
E02000881,Tower Hamlets 018,251
E02000882,Tower Hamlets 019,170
E02000883,Tower Hamlets 020,153
E02000884,Tower Hamlets 021,339
E02000885,Tower Hamlets 022,145
E02000886,Tower Hamlets 023,315
E02000887,Tower Hamlets 024,260
E02000888,Tower Hamlets 025,302
E02000889,Tower Hamlets 026,368
E02000890,Tower Hamlets 027,482
E02000893,Tower Hamlets 030,283
E02000894,Tower Hamlets 031,442
E02000895,Waltham Forest 001,1096
E02000896,Waltham Forest 002,1380
E02000897,Waltham Forest 003,883
E02000898,Waltham Forest 004,957
E02000899,Waltham Forest 005,1071
E02000900,Waltham Forest 006,833
E02000901,Waltham Forest 007,1102
E02000902,Waltham Forest 008,731
E02000903,Waltham Forest 009,499
E02000904,Waltham Forest 010,683
E02000905,Waltham Forest 011,675
E02000906,Waltham Forest 012,627
E02000907,Waltham Forest 013,443
E02000908,Waltham Forest 014,626
E02000909,Waltham Forest 015,695
E02000910,Waltham Forest 016,848
E02000911,Waltham Forest 017,710
E02000912,Waltham Forest 018,652
E02000913,Waltham Forest 019,884
E02000914,Waltham Forest 020,537
E02000915,Waltham Forest 021,677
E02000916,Waltham Forest 022,639
E02000917,Waltham Forest 023,563
E02000918,Waltham Forest 024,586
E02000919,Waltham Forest 025,655
E02000920,Waltham Forest 026,579
E02000921,Waltham Forest 027,475
E02000922,Waltham Forest 028,711
E02000923,Wandsworth 001,925
E02000925,Wandsworth 003,461
E02000926,Wandsworth 004,794
E02000927,Wandsworth 005,399
E02000928,Wandsworth 006,967
E02000929,Wandsworth 007,283
E02000930,Wandsworth 008,748
E02000931,Wandsworth 009,691
E02000932,Wandsworth 010,997
E02000933,Wandsworth 011,1069
E02000934,Wandsworth 012,572
E02000935,Wandsworth 013,291
E02000936,Wandsworth 014,866
E02000937,Wandsworth 015,680
E02000938,Wandsworth 016,835
E02000939,Wandsworth 017,833
E02000940,Wandsworth 018,446
E02000941,Wandsworth 019,763
E02000942,Wandsworth 020,1026
E02000943,Wandsworth 021,698
E02000944,Wandsworth 022,360
E02000945,Wandsworth 023,367
E02000946,Wandsworth 024,458
E02000947,Wandsworth 025,775
E02000948,Wandsworth 026,758
E02000949,Wandsworth 027,995
E02000950,Wandsworth 028,665
E02000951,Wandsworth 029,518
E02000952,Wandsworth 030,439
E02000953,Wandsworth 031,448
E02000954,Wandsworth 032,580
E02000955,Wandsworth 033,529
E02000956,Wandsworth 034,363
E02000957,Wandsworth 035,699
E02000958,Wandsworth 036,811
E02000959,Wandsworth 037,451
E02000960,Westminster 001,707
E02000961,Westminster 002,762
E02000962,Westminster 003,698
E02000963,Westminster 004,397
E02000964,Westminster 005,423
E02000965,Westminster 006,537
E02000966,Westminster 007,887
E02000967,Westminster 008,716
E02000968,Westminster 009,472
E02000969,Westminster 010,302
E02000970,Westminster 011,731
E02000971,Westminster 012,628
E02000972,Westminster 013,507
E02000973,Westminster 014,870
E02000974,Westminster 015,728
E02000975,Westminster 016,641
E02000976,Westminster 017,707
E02000977,Westminster 018,561
E02000978,Westminster 019,957
E02000979,Westminster 020,676
E02000980,Westminster 021,665
E02000981,Westminster 022,694
E02000982,Westminster 023,467
E02000983,Westminster 024,484
E02003237,Peterborough 001,1250
E02003238,Peterborough 002,738
E02003239,Peterborough 003,1588
E02003240,Peterborough 004,871
E02003241,Peterborough 005,1009
E02003242,Peterborough 006,1531
E02003243,Peterborough 007,660
E02003244,Peterborough 008,789
E02003245,Peterborough 009,489
E02003246,Peterborough 010,641
E02003247,Peterborough 011,886
E02003248,Peterborough 012,980
E02003249,Peterborough 013,1092
E02003250,Peterborough 014,830
E02003251,Peterborough 015,1464
E02003252,Peterborough 016,904
E02003253,Peterborough 017,959
E02003254,Peterborough 018,1751
E02003255,Peterborough 019,1534
E02003257,Peterborough 021,640
E02003258,Luton 001,1495
E02003259,Luton 002,878
E02003260,Luton 003,568
E02003261,Luton 004,1049
E02003262,Luton 005,990
E02003263,Luton 006,1408
E02003264,Luton 007,1248
E02003265,Luton 008,1359
E02003266,Luton 009,720
E02003267,Luton 010,912
E02003268,Luton 011,939
E02003269,Luton 012,1366
E02003270,Luton 013,1118
E02003271,Luton 014,1304
E02003272,Luton 015,780
E02003273,Luton 016,1061
E02003274,Luton 017,588
E02003276,Luton 019,490
E02003277,Luton 020,778
E02003278,Luton 021,693
E02003279,Southend-on-Sea 001,1987
E02003280,Southend-on-Sea 002,1676
E02003281,Southend-on-Sea 003,1909
E02003282,Southend-on-Sea 004,1563
E02003283,Southend-on-Sea 005,1473
E02003284,Southend-on-Sea 006,1315
E02003285,Southend-on-Sea 007,1025
E02003286,Southend-on-Sea 008,1613
E02003287,Southend-on-Sea 009,1609
E02003288,Southend-on-Sea 010,860
E02003289,Southend-on-Sea 011,1451
E02003290,Southend-on-Sea 012,1341
E02003291,Southend-on-Sea 013,1482
E02003292,Southend-on-Sea 014,786
E02003293,Southend-on-Sea 015,1141
E02003294,Southend-on-Sea 016,2003
E02003295,Southend-on-Sea 017,1488
E02003296,Thurrock 001,1324
E02003297,Thurrock 002,1053
E02003298,Thurrock 003,1070
E02003299,Thurrock 004,1024
E02003300,Thurrock 005,1153
E02003301,Thurrock 006,1047
E02003302,Thurrock 007,710
E02003303,Thurrock 008,839
E02003304,Thurrock 009,1084
E02003305,Thurrock 010,1055
E02003307,Thurrock 012,1028
E02003308,Thurrock 013,823
E02003309,Thurrock 014,1057
E02003311,Thurrock 016,755
E02003312,Thurrock 017,408
E02003313,Thurrock 018,803
E02003314,Medway 001,1281
E02003315,Medway 002,914
E02003316,Medway 003,1528
E02003317,Medway 004,893
E02003318,Medway 005,1099
E02003319,Medway 006,789
E02003320,Medway 007,713
E02003321,Medway 008,683
E02003322,Medway 009,537
E02003323,Medway 010,634
E02003324,Medway 011,954
E02003325,Medway 012,503
E02003326,Medway 013,825
E02003327,Medway 014,664
E02003328,Medway 015,589
E02003329,Medway 016,610
E02003330,Medway 017,775
E02003331,Medway 018,1132
E02003332,Medway 019,820
E02003333,Medway 020,475
E02003334,Medway 021,633
E02003335,Medway 022,465
E02003336,Medway 023,1260
E02003337,Medway 024,888
E02003338,Medway 025,972
E02003339,Medway 026,971
E02003340,Medway 027,880
E02003341,Medway 028,1031
E02003342,Medway 029,1135
E02003343,Medway 030,1317
E02003344,Medway 031,740
E02003345,Medway 032,941
E02003346,Medway 033,1107
E02003347,Medway 034,658
E02003348,Medway 035,1634
E02003349,Medway 036,1297
E02003350,Medway 037,915
E02003351,Medway 038,1129
E02003352,Bracknell Forest 001,1320
E02003353,Bracknell Forest 002,1412
E02003354,Bracknell Forest 003,1234
E02003355,Bracknell Forest 004,562
E02003356,Bracknell Forest 005,1093
E02003357,Bracknell Forest 006,825
E02003358,Bracknell Forest 007,879
E02003359,Bracknell Forest 008,568
E02003360,Bracknell Forest 009,1087
E02003361,Bracknell Forest 010,782
E02003362,Bracknell Forest 011,817
E02003363,Bracknell Forest 012,1108
E02003364,Bracknell Forest 013,853
E02003365,Bracknell Forest 014,1006
E02003366,Bracknell Forest 015,940
E02003367,West Berkshire 001,841
E02003368,West Berkshire 002,871
E02003369,West Berkshire 003,1095
E02003370,West Berkshire 004,1243
E02003371,West Berkshire 005,1201
E02003372,West Berkshire 006,1316
E02003373,West Berkshire 007,1094
E02003374,West Berkshire 008,807
E02003375,West Berkshire 009,713
E02003376,West Berkshire 010,978
E02003377,West Berkshire 011,1632
E02003378,West Berkshire 012,1214
E02003379,West Berkshire 013,740
E02003380,West Berkshire 014,1186
E02003381,West Berkshire 015,839
E02003382,West Berkshire 016,874
E02003383,West Berkshire 017,989
E02003384,West Berkshire 018,1064
E02003385,West Berkshire 019,1067
E02003386,West Berkshire 020,963
E02003387,West Berkshire 021,1559
E02003388,West Berkshire 022,926
E02003389,Reading 001,1392
E02003390,Reading 002,1359
E02003391,Reading 003,1317
E02003392,Reading 004,856
E02003393,Reading 005,1378
E02003394,Reading 006,585
E02003395,Reading 007,648
E02003396,Reading 008,847
E02003397,Reading 009,961
E02003398,Reading 010,546
E02003400,Reading 012,647
E02003401,Reading 013,839
E02003402,Reading 014,609
E02003403,Reading 015,1039
E02003404,Reading 016,558
E02003405,Reading 017,570
E02003406,Reading 018,732
E02003407,Slough 001,556
E02003408,Slough 002,866
E02003409,Slough 003,864
E02003410,Slough 004,743
E02003411,Slough 005,732
E02003412,Slough 006,916
E02003414,Slough 008,774
E02003415,Slough 009,584
E02003416,Slough 010,820
E02003417,Slough 011,791
E02003418,Slough 012,678
E02003419,Slough 013,612
E02003420,Slough 014,420
E02003421,Windsor and Maidenhead 001,948
E02003422,Windsor and Maidenhead 002,2046
E02003423,Windsor and Maidenhead 003,650
E02003424,Windsor and Maidenhead 004,1412
E02003425,Windsor and Maidenhead 005,1141
E02003426,Windsor and Maidenhead 006,1427
E02003427,Windsor and Maidenhead 007,810
E02003428,Windsor and Maidenhead 008,1329
E02003429,Windsor and Maidenhead 009,1236
E02003430,Windsor and Maidenhead 010,673
E02003431,Windsor and Maidenhead 011,821
E02003432,Windsor and Maidenhead 012,811
E02003433,Windsor and Maidenhead 013,1056
E02003434,Windsor and Maidenhead 014,997
E02003435,Windsor and Maidenhead 015,961
E02003436,Windsor and Maidenhead 016,1327
E02003437,Windsor and Maidenhead 017,1016
E02003438,Windsor and Maidenhead 018,1733
E02003439,Wokingham 001,993
E02003440,Wokingham 002,1471
E02003441,Wokingham 003,1409
E02003442,Wokingham 004,1123
E02003443,Wokingham 005,892
E02003444,Wokingham 006,1283
E02003445,Wokingham 007,1463
E02003446,Wokingham 008,1418
E02003447,Wokingham 009,1146
E02003448,Wokingham 010,1147
E02003449,Wokingham 011,1007
E02003450,Wokingham 012,1382
E02003451,Wokingham 013,1412
E02003452,Wokingham 014,1164
E02003453,Wokingham 015,1175
E02003454,Wokingham 016,1315
E02003455,Wokingham 017,1142
E02003456,Wokingham 018,836
E02003457,Wokingham 019,1733
E02003458,Wokingham 020,1442
E02003459,Milton Keynes 001,1605
E02003460,Milton Keynes 002,1674
E02003461,Milton Keynes 003,1258
E02003462,Milton Keynes 004,1200
E02003463,Milton Keynes 005,916
E02003464,Milton Keynes 006,580
E02003465,Milton Keynes 007,927
E02003466,Milton Keynes 008,714
E02003467,Milton Keynes 009,557
E02003468,Milton Keynes 010,1267
E02003469,Milton Keynes 011,902
E02003470,Milton Keynes 012,293
E02003471,Milton Keynes 013,586
E02003472,Milton Keynes 014,395
E02003473,Milton Keynes 015,636
E02003474,Milton Keynes 016,890
E02003476,Milton Keynes 018,375
E02003478,Milton Keynes 020,634
E02003479,Milton Keynes 021,383
E02003480,Milton Keynes 022,672
E02003481,Milton Keynes 023,479
E02003482,Milton Keynes 024,1141
E02003483,Milton Keynes 025,676
E02003484,Milton Keynes 026,645
E02003485,Milton Keynes 027,1014
E02003486,Milton Keynes 028,729
E02003487,Milton Keynes 029,1047
E02003488,Milton Keynes 030,1032
E02003489,Milton Keynes 031,1074
E02003490,Milton Keynes 032,533
E02003491,Brighton and Hove 001,1174
E02003492,Brighton and Hove 002,441
E02003493,Brighton and Hove 003,1374
E02003494,Brighton and Hove 004,1099
E02003495,Brighton and Hove 005,983
E02003496,Brighton and Hove 006,1033
E02003497,Brighton and Hove 007,1191
E02003498,Brighton and Hove 008,549
E02003499,Brighton and Hove 009,517
E02003500,Brighton and Hove 010,959
E02003501,Brighton and Hove 011,1164
E02003502,Brighton and Hove 012,869
E02003503,Brighton and Hove 013,1109
E02003504,Brighton and Hove 014,875
E02003505,Brighton and Hove 015,619
E02003506,Brighton and Hove 016,681
E02003507,Brighton and Hove 017,1567
E02003508,Brighton and Hove 018,832
E02003509,Brighton and Hove 019,739
E02003510,Brighton and Hove 020,1090
E02003511,Brighton and Hove 021,963
E02003512,Brighton and Hove 022,730
E02003513,Brighton and Hove 023,817
E02003514,Brighton and Hove 024,709
E02003515,Brighton and Hove 025,454
E02003516,Brighton and Hove 026,721
E02003517,Brighton and Hove 027,839
E02003518,Brighton and Hove 028,1003
E02003519,Brighton and Hove 029,658
E02003520,Brighton and Hove 030,646
E02003521,Brighton and Hove 031,820
E02003522,Brighton and Hove 032,948
E02003523,Brighton and Hove 033,2272
E02003524,Portsmouth 001,653
E02003525,Portsmouth 002,504
E02003526,Portsmouth 003,1443
E02003527,Portsmouth 004,842
E02003529,Portsmouth 006,1143
E02003530,Portsmouth 007,856
E02003531,Portsmouth 008,1352
E02003532,Portsmouth 009,886
E02003533,Portsmouth 010,579
E02003534,Portsmouth 011,1024
E02003535,Portsmouth 012,853
E02003536,Portsmouth 013,324
E02003537,Portsmouth 014,1389
E02003538,Portsmouth 015,783
E02003540,Portsmouth 017,1358
E02003541,Portsmouth 018,498
E02003542,Portsmouth 019,869
E02003543,Portsmouth 020,663
E02003544,Portsmouth 021,700
E02003545,Portsmouth 022,645
E02003546,Portsmouth 023,1228
E02003547,Portsmouth 024,1259
E02003548,Portsmouth 025,730
E02003549,Southampton 001,870
E02003550,Southampton 002,977
E02003551,Southampton 003,483
E02003552,Southampton 004,499
E02003553,Southampton 005,375
E02003554,Southampton 006,865
E02003555,Southampton 007,810
E02003556,Southampton 008,876
E02003557,Southampton 009,811
E02003558,Southampton 010,508
E02003559,Southampton 011,1175
E02003560,Southampton 012,516
E02003561,Southampton 013,558
E02003562,Southampton 014,984
E02003563,Southampton 015,839
E02003564,Southampton 016,1039
E02003565,Southampton 017,300
E02003566,Southampton 018,774
E02003567,Southampton 019,774
E02003568,Southampton 020,696
E02003569,Southampton 021,664
E02003570,Southampton 022,367
E02003571,Southampton 023,342
E02003572,Southampton 024,868
E02003573,Southampton 025,839
E02003574,Southampton 026,1215
E02003575,Southampton 027,486
E02003576,Southampton 028,729
E02003578,Southampton 030,883
E02003579,Southampton 031,989
E02003580,Southampton 032,432
E02003581,Isle of Wight 001,1191
E02003582,Isle of Wight 002,1850
E02003583,Isle of Wight 003,1405
E02003584,Isle of Wight 004,939
E02003585,Isle of Wight 005,1713
E02003586,Isle of Wight 006,1492
E02003587,Isle of Wight 007,1316
E02003588,Isle of Wight 008,1169
E02003589,Isle of Wight 009,940
E02003590,Isle of Wight 010,2194
E02003591,Isle of Wight 011,1694
E02003592,Isle of Wight 012,2595
E02003593,Isle of Wight 013,1365
E02003594,Isle of Wight 014,1776
E02003595,Isle of Wight 015,2164
E02003596,Isle of Wight 016,1836
E02003597,Isle of Wight 017,1353
E02003598,Isle of Wight 018,1743
E02003599,Central Bedfordshire 001,674
E02003600,Central Bedfordshire 002,930
E02003601,Central Bedfordshire 003,1297
E02003602,Central Bedfordshire 004,1069
E02003603,Central Bedfordshire 005,1466
E02003604,Central Bedfordshire 006,1271
E02003605,Central Bedfordshire 007,1247
E02003606,Central Bedfordshire 008,1470
E02003607,Central Bedfordshire 009,1284
E02003608,Central Bedfordshire 010,1683
E02003609,Central Bedfordshire 011,1483
E02003610,Central Bedfordshire 012,1355
E02003611,Central Bedfordshire 013,1544
E02003612,Central Bedfordshire 014,1612
E02003613,Central Bedfordshire 015,795
E02003614,Central Bedfordshire 016,1239
E02003615,Central Bedfordshire 017,1691
E02003616,Bedford 001,1097
E02003617,Bedford 002,1713
E02003618,Bedford 003,1520
E02003619,Bedford 004,1835
E02003620,Bedford 005,1568
E02003621,Bedford 006,1670
E02003622,Bedford 007,1105
E02003623,Bedford 008,1776
E02003624,Bedford 009,710
E02003625,Bedford 010,813
E02003626,Bedford 011,910
E02003627,Bedford 012,965
E02003628,Bedford 013,737
E02003629,Bedford 014,895
E02003630,Bedford 015,756
E02003631,Bedford 016,729
E02003632,Bedford 017,822
E02003633,Bedford 018,1141
E02003635,Bedford 020,1033
E02003636,Central Bedfordshire 018,1220
E02003637,Central Bedfordshire 019,1700
E02003638,Central Bedfordshire 020,1345
E02003639,Central Bedfordshire 021,1127
E02003640,Central Bedfordshire 022,992
E02003641,Central Bedfordshire 023,949
E02003642,Central Bedfordshire 025,698
E02003643,Central Bedfordshire 024,1318
E02003644,Central Bedfordshire 026,1060
E02003645,Central Bedfordshire 027,1134
E02003646,Central Bedfordshire 028,1199
E02003647,Central Bedfordshire 029,1169
E02003648,Central Bedfordshire 030,646
E02003649,Central Bedfordshire 031,1226
E02003650,Central Bedfordshire 032,1411
E02003651,Central Bedfordshire 033,1313
E02003652,Buckinghamshire 001,1439
E02003653,Buckinghamshire 002,1003
E02003654,Buckinghamshire 003,1023
E02003655,Buckinghamshire 004,1548
E02003656,Buckinghamshire 005,1155
E02003657,Buckinghamshire 006,1114
E02003658,Buckinghamshire 007,1395
E02003659,Buckinghamshire 009,1173
E02003660,Buckinghamshire 008,1754
E02003661,Buckinghamshire 010,925
E02003662,Buckinghamshire 012,688
E02003663,Buckinghamshire 011,650
E02003664,Buckinghamshire 013,686
E02003665,Buckinghamshire 014,760
E02003666,Buckinghamshire 015,731
E02003667,Buckinghamshire 016,925
E02003668,Buckinghamshire 018,1671
E02003669,Buckinghamshire 017,437
E02003670,Buckinghamshire 019,1213
E02003671,Buckinghamshire 020,618
E02003672,Buckinghamshire 021,1973
E02003673,Buckinghamshire 022,1687
E02003674,Buckinghamshire 023,975
E02003675,Buckinghamshire 024,1271
E02003676,Buckinghamshire 029,1600
E02003677,Buckinghamshire 027,1211
E02003678,Buckinghamshire 028,897
E02003679,Buckinghamshire 030,824
E02003680,Buckinghamshire 031,1815
E02003681,Buckinghamshire 032,1668
E02003682,Buckinghamshire 034,1157
E02003683,Buckinghamshire 035,996
E02003685,Buckinghamshire 047,1424
E02003686,Buckinghamshire 050,1347
E02003687,Buckinghamshire 054,881
E02003688,Buckinghamshire 053,1793
E02003689,Buckinghamshire 058,1355
E02003690,Buckinghamshire 059,1127
E02003691,Buckinghamshire 063,1100
E02003692,Buckinghamshire 064,1405
E02003693,Buckinghamshire 065,1264
E02003694,Buckinghamshire 066,1058
E02003695,Buckinghamshire 067,1311
E02003696,Buckinghamshire 026,1676
E02003697,Buckinghamshire 025,1095
E02003698,Buckinghamshire 033,1623
E02003699,Buckinghamshire 037,930
E02003701,Buckinghamshire 038,1496
E02003702,Buckinghamshire 040,1321
E02003703,Buckinghamshire 041,930
E02003704,Buckinghamshire 045,1004
E02003705,Buckinghamshire 042,574
E02003706,Buckinghamshire 043,623
E02003707,Buckinghamshire 044,586
E02003708,Buckinghamshire 046,657
E02003709,Buckinghamshire 048,467
E02003710,Buckinghamshire 049,1039
E02003711,Buckinghamshire 051,861
E02003712,Buckinghamshire 052,1089
E02003713,Buckinghamshire 055,1155
E02003714,Buckinghamshire 056,934
E02003715,Buckinghamshire 057,1241
E02003716,Buckinghamshire 060,1047
E02003717,Buckinghamshire 062,1552
E02003718,Buckinghamshire 061,838
E02003719,Cambridge 001,750
E02003720,Cambridge 002,1040
E02003721,Cambridge 003,845
E02003722,Cambridge 004,1238
E02003723,Cambridge 005,795
E02003724,Cambridge 006,865
E02003725,Cambridge 007,1036
E02003726,Cambridge 008,819
E02003727,Cambridge 009,870
E02003728,Cambridge 010,998
E02003729,Cambridge 011,1104
E02003731,Cambridge 013,1242
E02003732,East Cambridgeshire 001,1171
E02003733,East Cambridgeshire 002,1431
E02003734,East Cambridgeshire 003,1742
E02003735,East Cambridgeshire 004,1297
E02003736,East Cambridgeshire 005,1855
E02003737,East Cambridgeshire 006,1660
E02003738,East Cambridgeshire 007,1036
E02003739,East Cambridgeshire 008,1171
E02003740,East Cambridgeshire 009,1028
E02003742,Fenland 001,1502
E02003743,Fenland 002,1230
E02003744,Fenland 003,1933
E02003745,Fenland 004,1920
E02003746,Fenland 005,1255
E02003747,Fenland 006,2008
E02003748,Fenland 007,1274
E02003749,Fenland 008,1087
E02003750,Fenland 009,1437
E02003751,Fenland 010,1340
E02003752,Fenland 011,1646
E02003753,Huntingdonshire 001,1651
E02003754,Huntingdonshire 002,1004
E02003755,Huntingdonshire 003,1333
E02003756,Huntingdonshire 004,1151
E02003757,Huntingdonshire 005,1165
E02003758,Huntingdonshire 006,1514
E02003759,Huntingdonshire 007,1177
E02003760,Huntingdonshire 008,588
